"s","o","s_name","s_wikipage"
"http://dbpedia.org/resource/!Action_Pact!","http://www.trouserpress.com/entry.php?a=action_pact","!Action Pact!","http://en.wikipedia.org/wiki/!Action_Pact!"
"http://dbpedia.org/resource/!Action_Pact!","http://www.myspace.com/purgeuk","!Action Pact!","http://en.wikipedia.org/wiki/!Action_Pact!"
"http://dbpedia.org/resource/!Action_Pact!","http://www.purgenoise.com","!Action Pact!","http://en.wikipedia.org/wiki/!Action_Pact!"
"http://dbpedia.org/resource/%22Solidarity%22_Szczecin-Goleni%C3%B3w_Airport","http://www.airport.com.pl/","""Solidarity"" Szczecin-Goleniów Airport","http://en.wikipedia.org/wiki/%22Solidarity%22_Szczecin-Goleniów_Airport"
"http://dbpedia.org/resource/%C3%81g%C3%A6tis_byrjun","http://sigur-ros.co.uk/band/disco/agaetis.php","Ágætis byrjun","http://en.wikipedia.org/wiki/Ágætis_byrjun"
"http://dbpedia.org/resource/%C3%81lvaro_Arz%C3%BA","http://www.arzualcalde.com/?get=index","Alvaro Arzu","http://en.wikipedia.org/wiki/Álvaro_Arzú"
"http://dbpedia.org/resource/%C3%81lvaro_Arz%C3%BA","http://www.citymayors.com/mayors/guatemala_mayor.html","Alvaro Arzu","http://en.wikipedia.org/wiki/Álvaro_Arzú"
"http://dbpedia.org/resource/%C3%81lvaro_Arz%C3%BA","http://www.cidob.org/es/documentacion/biografias_lideres_politicos/america_central_y_caribe/guatemala/alvaro_arzu_yrigoyen","Alvaro Arzu","http://en.wikipedia.org/wiki/Álvaro_Arzú"
"http://dbpedia.org/resource/%C3%81lvaro_Arz%C3%BA","http://www.arzualcalde.com/?get=index","Álvaro Arzú","http://en.wikipedia.org/wiki/Álvaro_Arzú"
"http://dbpedia.org/resource/%C3%81lvaro_Arz%C3%BA","http://www.citymayors.com/mayors/guatemala_mayor.html","Álvaro Arzú","http://en.wikipedia.org/wiki/Álvaro_Arzú"
